,mean,std,50%,count
mean_w_reg_basprem,25.377611252684265,5.8768246630728305,26.0653335409338,170.0
logmean_w_reg_bpr_ch,0.05831981809669608,0.08359989195226321,0.05399646657645918,170.0
conc_weig_basicpdpd_c4,0.41477715339389565,0.24667056408188381,0.47514198411448183,170.0
laghershf_firm_tot,0.12145388572146094,0.0423242560790696,0.11018379502573437,170.0
mapd_regio_2006share,0.20921532809734344,0.14612604677677155,0.19122713804244995,170.0
MA_2005_penetration,0.11154805123806,0.09687201678752899,0.08034493029117584,170.0
MA_2004_penetration,0.10533636063337326,0.09755079448223114,0.06947346776723862,170.0
MA_2003_penetration,0.10616892576217651,0.0987151637673378,0.06572149321436882,170.0
